Station_Name;Operators_Name;Connection_Type;Generation_Type;Operating_Capacity;Fuel_Name;Installed_Capacity;Max_Unit_Size;Typical_Annual_GWh;Hydro_Max_m3_Storage;Node_Name;Region_Name;Island_Name
Waihi Station;Trustpower;Embedded;Hydro;4,7;Hydro;4,7;2.35 MW;10,4;0;WRA0111;HBY - Hawkes Bay;NI - North Island
Gisborne;Contact Energy;Embedded;Unknown;4;Unknown;4,5;4.5 MW;1,2;0;GIS0501;HBY - Hawkes Bay;NI - North Island
Mangorei;Trustpower;Embedded;Hydro;4,5;Hydro;4,5;1.3 MW;21;0;CST0331;TRN - Taranaki;NI - North Island
Horseshoe Bend;Trustpower;Partially Embedded;Hydro;4,3;Hydro;4,3;4.3 MW;23;0;CYD0331;OTG - Otago/Southland;SI - South Island
Esk;Trustpower;Embedded;Hydro;4;Hydro;4,2;2.8 MW;15;0;RDF0331;HBY - Hawkes Bay;NI - North Island
Roaring Meg;Trustpower;Embedded;Hydro;4,2;Hydro;4,2;1.5 MW;29;0;CML0331;OTG - Otago/Southland;SI - South Island
Rochfort ;Kawatiri Energy;Embedded;Hydro;4,2;Hydro;4,2;4.2 MW;20;0;ORO1101;WEC - West Coast;SI - South Island
Hampton Downs Landfill;Mighty River Power;Embedded;Other;4;Biogas;4;1 MW;28;0;MER0331;WTO - Waikato;NI - North Island
Anchor Products;Trustpower;Embedded;Thermal;3,9;Unknown;3,9;3.9 MW;3,3;0;TMU0111;WTO - Waikato;NI - North Island
Argyle;Trustpower;Grid Connected;Hydro;3,8;Hydro;3,8;3.8 MW;17;0;ARG1101;NEL - Nelson/Marlbourough;SI - South Island
Auckland District Hospital;Meridian Energy;Embedded;Cogeneration;3,6;Gas;3,6;1.8 MW;7;0;PEN0331;AKL - Auckland;NI - North Island
Dillmans;Trustpower;Embedded;Hydro;3,5;Hydro;3,5;3.5 MW;16;0;KUM0661;WEC - West Coast;SI - South Island
Fletcher Forests;Trustpower;Embedded;Thermal;3,5;Wood_waste;3,5;3.5 MW;26;0;ROT0111;BOP - Bay Of Plenty;NI - North Island
Hokitika Diesel;Trustpower;Embedded;Thermal;3,3;Diesel;3,3;3.3 MW;0,3;0;KUM0661;WEC - West Coast;SI - South Island
Christchurch City Wastewater;Meridian Energy;Embedded;Other;3,2;Biogas;3,2;3.2 MW;2;0;BRY0111;CAN - Canterbury;SI - South Island
Arnold;Trustpower;Embedded;Hydro;3,1;Hydro;3,1;3.1 MW;20;0;DOB0331;WEC - West Coast;SI - South Island
Wahapo (Okarito Forks);Trustpower;Partially Embedded;Hydro;3,1;Hydro;3,1;3.1 MW;14,5;0;HKK0661;WEC - West Coast;SI - South Island
Whitford Landfill;Trustpower;Embedded;Other;3;Biogas;3;1 MW;20;0;TAK0331;AKL - Auckland;NI - North Island
Hinemaiaia C;Trustpower;Embedded;Hydro;2,85;Hydro;2,85;2.85 MW;13;0;WRK0331;WTO - Waikato;NI - North Island
Fraser;Trustpower;Embedded;Hydro;2,8;Hydro;2,8;2.8 MW;19;0;CYD0331;OTG - Otago/Southland;SI - South Island
Rosedale Landfill;Mighty River Power;Embedded;Other;2,8;Biogas;2,8;0.92 MW;22;0;ALB0331;NIS - North Isthmus;NI - North Island
Silverstream Landfill;Mighty River Power;Embedded;Other;2,7;Biogas;2,7;0.9 MW;13;0;HAY0331;WEL - Wellington;NI - North Island
Waihopai;Trustpower;Embedded;Hydro;2,5;Hydro;2,5;2 MW;11,8;0;BLN0331;NEL - Nelson/Marlbourough;SI - South Island
Hinemaiaia A;Trustpower;Embedded;Hydro;2,4;Hydro;2,4;2.4 MW;10;0;WRK0331;WTO - Waikato;NI - North Island
Bombay;Contact Energy;Embedded;Unknown;2,3;Unknown;2,3;2.3 MW;0;0;BOB1101;AKL - Auckland;NI - North Island
Horseshoe Bend Wind;Pioneer Generation;Embedded;Wind;2,25;Wind;2,25;0.75 MW;8;0;CYD0331;OTG - Otago/Southland;SI - South Island
Patearoa;Trustpower;Embedded;Hydro;2,25;Hydro;2,25;2.25 MW;8;0;NSY0331;OTG - Otago/Southland;NI - North Island
Talla Burn;Talla Burn Generation;Embedded;Hydro;2,6;Hydro;2,15;2.15 MW;10;0;CYD0331;OTG - Otago/Southland;SI - South Island
Matawai;The Lines Compnay;Embedded;Hydro;2;Hydro;2;1 MW;10;0;GIS0501;HBY - Hawkes Bay;NI - North Island
Kowhai;Pioneer Generation;Partially Embedded;Hydro;1,9;Hydro;1,9;1.9 MW;5,5;0;CYD0331;OTG - Otago/Southland;SI - South Island
Mokauiti;King Country Energy;Embedded;Hydro;1,9;Hydro;1,9;1.3 MW;7;0;ONG0331;CEN - Central;NI - North Island
Montalto;Trustpower;Partially Embedded;Hydro;1,8;Hydro;1,8;1.8 MW;12;0;ASB0331;CAN - Canterbury;SI - South Island
Piriaka;King Country Energy;Embedded;Hydro;1,8;Hydro;1,8;1.2 MW;7;0;HTI0331;CEN - Central;NI - North Island
Mangapehi;Mighty River Power;Embedded;Hydro;1,6;Hydro;1,6;0.8 MW;5;0;HTI0331;WTO - Waikato;NI - North Island
Blue Mountain Lumber;Meridian Energy;Embedded;Cogeneration;1,4;Wood_waste;1,4;1.4 MW;1,9;0;GOR0331;OTG - Otago/Southland;SI - South Island
Hinemaiaia B;Trustpower;Embedded;Hydro;1,35;Hydro;1,35;1.35 MW;6;0;WRK0331;WTO - Waikato;NI - North Island
